
; Gameboy Instruction Table
; By David Phillips

; "" -- no argument
; *  -- 8 or 16 bit value
; !  -- bit value (multiplied by 8)
; @  -- relative value (determined by PC)

;Inst Args Opcode Bytes Time

LD   [HL],C  71   1   2
LD   (HL),D  72   1   2
LD   [HL],D  72   1   2
LD   (HL),E  73   1   2
LD   [HL],E  73   1   2
LD   (HL),H  74   1   2
LD   [HL],H  74   1   2
LD   (HL),L  75   1   2
LD   [HL],L  75   1   2
LD   (HL),*  36   2   3
LD   [HL],*  36   2   3
LD   (HLD),A 32   1   4       ;  LD (HL),A|DEC HL 
LD   [HLD],A 32   1   4       ;  LD (HL),A|DEC HL 
LD   (HLI),A 22   1   4       ;  LD (HL),A|INC HL 
LD   [HLI],A 22   1   4       ;  LD (HL),A|INC HL 
LD   (*),A   EA   3   4
LD   [*],A   EA   3   4
LD   (*),SP  08   3   5
LD   [*],SP  08   3   5
LD   A,(C)   F2   1   2       ;  LD A,($FF00+C)
LD   A,[C]   F2   1   2       ;  LD A,($FF00+C)   
LD   A,(BC)  0A   1   2
LD   A,[BC]  0A   1   2
LD   A,(DE)  1A   1   2
LD   A,[DE]  1A   1   2
LD   A,(HL)  7E   1   2
LD   A,[HL]  7E   1   2
LD   A,(HLD) 3A   1   4       ;  LD A,(HL)|DEC HL 
LD   A,[HLD] 3A   1   4       ;  LD A,(HL)|DEC HL 
LD   A,(HLI) 2A   1   4       ;  LD A,(HL)|INC HL 
LD   A,[HLI] 2A   1   4       ;  LD A,(HL)|INC HL 
LD   A,A     7F   1   1
LD   A,B     78   1   1
LD   A,C     79   1   1
LD   A,D     7A   1   1
LD   A,E     7B   1   1
LD   A,H     7C   1   1
LD   A,L     7D   1   1
LD   A,(*)   FA   3   4
LD   A,[*]   FA   3   4
LD   A,*     3E   2   2
LD   B,(HL)  46   1   2
LD   B,[HL]  46   1   2
LD   B,A     47   1   1
LD   B,B     40   1   1
LD   B,C     41   1   1
LD   B,D     42   1   1
LD   B,E     43   1   1
LD   B,H     44   1   1
LD   B,L     45   1   1
LD   B,*     06   2   2
LD   BC,*    01   3   3
LD   C,(HL)  4E   1   2
LD   C,[HL]  4E   1   2
LD   C,A     4F   1   1
LD   C,B     48   1   1
LD   C,C     49   1   1
LD   C,D     4A   1   1
LD   C,E     4B   1   1
LD   C,H     4C   1   1
LD   C,L     4D   1   1
LD   C,*     0E   2   2
LD   D,(HL)  56   1   2
LD   D,[HL]  56   1   2
LD   D,A     57   1   1
LD   D,B     50   1   1
LD   D,C     51   1   1
LD   D,D     52   1   1
LD   D,E     53   1   1
LD   D,H     54   1   1
LD   D,L     55   1   1
LD   D,*     16   2   2
LD   DE,*    11   3   3
LD   E,(HL)  5E   1   2
LD   E,[HL]  5E   1   2
LD   E,A     5F   1   1
LD   E,B     58   1   1
LD   E,C     59   1   1
LD   E,D     5A   1   1
LD   E,E     5B   1   1
LD   E,H     5C   1   1
LD   E,L     5D   1   1
LD   E,*     1E   2   2
